,date,Brazil_nan,Russia_nan,Spain_nan,United States_nan
0,2020-01-22,0,0,0,0
1,2020-01-23,0,0,0,0
2,2020-01-24,0,0,0,0
3,2020-01-25,0,0,0,0
4,2020-01-26,0,0,0,0
5,2020-01-27,0,0,0,0
6,2020-01-28,0,0,0,0
7,2020-01-29,0,0,0,0
8,2020-01-30,0,0,0,0
9,2020-01-31,0,0,0,0
10,2020-02-01,0,0,0,0
11,2020-02-02,0,0,0,0
12,2020-02-03,0,0,0,0
13,2020-02-04,0,0,0,0
14,2020-02-05,0,0,0,0
15,2020-02-06,0,0,0,0
16,2020-02-07,0,0,0,0
17,2020-02-08,0,0,0,0
18,2020-02-09,0,0,0,3
19,2020-02-10,0,0,0,3
20,2020-02-11,0,0,0,3
21,2020-02-12,0,2,0,3
22,2020-02-13,0,2,0,3
23,2020-02-14,0,2,0,3
24,2020-02-15,0,2,2,3
25,2020-02-16,0,2,2,3
26,2020-02-17,0,2,2,3
27,2020-02-18,0,2,2,3
28,2020-02-19,0,2,2,3
29,2020-02-20,0,2,2,3
30,2020-02-21,0,2,2,5
31,2020-02-22,0,2,2,5
32,2020-02-23,0,2,2,5
33,2020-02-24,0,2,2,5
34,2020-02-25,0,2,2,6
35,2020-02-26,0,2,2,6
36,2020-02-27,0,2,2,6
37,2020-02-28,0,2,2,7
38,2020-02-29,0,2,2,7
39,2020-03-01,0,2,2,7
40,2020-03-02,0,2,2,7
41,2020-03-03,0,2,2,7
42,2020-03-04,0,2,2,7
43,2020-03-05,0,2,2,7
44,2020-03-06,0,2,2,7
45,2020-03-07,0,2,30,7
46,2020-03-08,0,3,30,7
47,2020-03-09,0,3,32,7
48,2020-03-10,0,3,32,8
49,2020-03-11,0,3,183,8
50,2020-03-12,0,3,183,12
51,2020-03-13,0,3,193,12
52,2020-03-14,0,8,517,12
53,2020-03-15,0,8,517,12
54,2020-03-16,1,8,530,17
55,2020-03-17,2,8,1028,17
56,2020-03-18,2,8,1081,105
57,2020-03-19,2,9,1107,121
58,2020-03-20,2,9,1588,147
59,2020-03-21,2,12,2125,176
60,2020-03-22,2,16,2575,178
61,2020-03-23,2,16,2575,178
62,2020-03-24,2,22,3794,348
63,2020-03-25,2,29,5367,361
64,2020-03-26,6,38,7015,681
65,2020-03-27,6,45,9357,869
66,2020-03-28,6,49,12285,1072
67,2020-03-29,6,64,14709,2665
68,2020-03-30,120,66,16780,5644
69,2020-03-31,127,121,19259,7024
70,2020-04-01,127,190,22647,8474
71,2020-04-02,127,235,26743,9001
72,2020-04-03,127,281,30513,9707
73,2020-04-04,127,333,34219,14652
74,2020-04-05,127,355,38080,17448
75,2020-04-06,127,406,40437,19581
76,2020-04-07,127,494,43208,21763
77,2020-04-08,127,580,48021,23559
78,2020-04-09,173,698,52165,25410
79,2020-04-10,173,795,55668,28790
80,2020-04-11,173,1045,59109,31270
81,2020-04-12,173,1291,62391,32988
82,2020-04-13,173,1470,64727,43482
83,2020-04-14,3046,1694,67504,47763
84,2020-04-15,14026,1986,70853,52096
85,2020-04-16,14026,2304,74797,54703
86,2020-04-17,14026,2590,74797,58545
87,2020-04-18,14026,3057,74797,64840
88,2020-04-19,22130,3291,77357,70337
89,2020-04-20,22130,3446,80587,72329
90,2020-04-21,22991,3873,82514,75204
91,2020-04-22,25318,4420,85915,77366
92,2020-04-23,26573,4891,89250,80203
93,2020-04-24,27655,5568,92355,99079
94,2020-04-25,29160,6250,95708,100372
95,2020-04-26,30152,6767,98372,106988
96,2020-04-27,31142,7346,100875,111424
97,2020-04-28,32544,8456,102548,115936
98,2020-04-29,34132,10286,108947,120720
99,2020-04-30,35935,11619,112050,153947
100,2020-05-01,38039,13220,112050,164015
101,2020-05-02,40937,15013,117248,175382
102,2020-05-03,42991,16639,118902,180152
103,2020-05-04,45815,18095,121343,187180
104,2020-05-05,48221,19865,123486,189791
105,2020-05-06,51370,21327,126002,189910
106,2020-05-07,55350,23803,128511,195036
107,2020-05-08,59297,26608,131148,198993
108,2020-05-09,61685,31916,133952,212534
109,2020-05-10,64957,34306,136166,216169
110,2020-05-11,67384,39801,137139,232733
111,2020-05-12,72597,43512,138980,230287
112,2020-05-13,78424,48003,140823,243430
113,2020-05-14,79479,53530,143374,246414
114,2020-05-15,84970,58226,144783,250747
115,2020-05-16,89672,63166,146446,268376
116,2020-05-17,94122,67373,146446,272265
117,2020-05-18,100459,70209,150376,283178
118,2020-05-19,106794,76130,150376,289392
119,2020-05-20,116683,85392,150376,294312
120,2020-05-21,125960,92681,150376,298418
121,2020-05-22,135430,99825,150376,350135
122,2020-05-23,142587,107936,150376,361239
123,2020-05-24,149911,113299,150376,366736
124,2020-05-25,153833,118798,150376,379157
125,2020-05-26,158593,131129,150376,384902
126,2020-05-27,166647,142208,150376,391508
127,2020-05-28,177604,150993,150376,399991
128,2020-05-29,189476,159257,150376,406446
129,2020-05-30,200892,167469,150376,416461
130,2020-05-31,206555,171883,150376,444758
131,2020-06-01,211080,175514,150376,458231
132,2020-06-02,223638,186602,150376,463868
133,2020-06-03,238617,195559,150376,479258
134,2020-06-04,254963,204197,150376,485002
135,2020-06-05,266940,212237,150376,491706
136,2020-06-06,277149,220935,150376,500849
137,2020-06-07,283952,226272,150376,506367
138,2020-06-08,378257,230226,150376,518522
139,2020-06-09,396737,241917,150376,524855
140,2020-06-10,413916,252295,150376,533504
141,2020-06-11,429965,260649,150376,540292
142,2020-06-12,445123,268862,150376,547386
143,2020-06-13,459436,274128,150376,556606
144,2020-06-14,469141,279536,150376,561816
145,2020-06-15,477709,284021,150376,576334
146,2020-06-16,490005,293780,150376,583503
147,2020-06-17,521046,303800,150376,592191
