,date,India_Andaman and Nicobar Islands,India_Andhra Pradesh,India_Arunachal Pradesh,India_Assam,India_Bihar,India_Chandigarh,India_Chattisgarh,India_Dadra and Nagar Haveli,India_Daman and Diu,India_Delhi,India_Goa,India_Gujarat,India_Haryana,India_Himachal Pradesh,India_Jammu and Kashmir,India_Jharkhand,India_Karnataka,India_Kerala,India_Ladakh,India_Lakshadweep,India_Madhya Pradesh,India_Maharashtra,India_Manipur,India_Meghalaya,India_Mizoram,India_Nagaland,India_Odisha,India_Puducherry,India_Punjab,India_Rajasthan,India_Sikkim,India_Tamil Nadu,India_Telangana,India_Tripura,India_Uttar Pradesh,India_Uttarakhand,India_West Bengal
0,2020-03-14,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,19,0,0,0,14,0,0,0,0,0,0,1,3,0,1,1,0,12,0,0
1,2020-03-15,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,24,0,0,0,32,0,0,0,0,0,0,1,4,0,1,3,0,13,0,0
2,2020-03-16,0,1,0,0,0,0,0,0,0,7,0,0,14,0,3,0,7,27,0,0,0,38,0,0,0,0,1,1,1,4,0,1,4,0,13,1,0
3,2020-03-17,0,1,0,0,0,0,0,0,0,8,0,0,15,0,3,0,9,27,0,0,0,41,0,0,0,0,1,1,1,4,0,1,5,0,15,1,1
4,2020-03-18,0,1,0,0,0,0,0,0,0,10,0,0,16,0,4,0,14,27,8,0,0,44,0,0,0,0,2,1,2,7,0,2,13,0,17,2,1
5,2020-03-19,0,3,0,0,0,1,1,0,0,14,0,2,17,0,4,0,15,28,8,0,0,48,0,0,0,0,2,1,2,9,0,3,16,0,20,3,1
6,2020-03-20,0,3,0,0,0,5,1,0,0,20,0,7,19,2,4,0,15,40,10,0,4,52,0,0,0,0,2,1,3,17,0,3,19,0,24,3,2
7,2020-03-21,0,5,0,0,0,5,1,0,0,27,0,14,21,2,4,0,20,52,13,0,4,64,0,0,0,0,2,1,13,24,0,6,21,0,28,3,4
8,2020-03-22,0,6,0,0,2,6,1,0,0,27,0,18,21,2,4,0,26,67,13,0,6,74,0,0,0,0,2,1,21,28,0,9,27,0,30,3,7
9,2020-03-23,0,7,0,0,3,7,1,0,0,30,0,30,28,3,4,0,33,95,13,0,6,97,0,0,0,0,2,1,23,32,0,12,33,0,32,4,7
10,2020-03-24,0,8,0,0,3,7,1,0,0,30,0,34,30,3,6,0,41,109,13,0,7,107,1,0,0,0,2,1,29,32,0,18,37,0,35,4,9
11,2020-03-25,0,10,0,0,4,7,3,0,0,35,3,38,31,3,11,0,51,118,13,0,15,122,1,0,1,0,2,1,31,38,0,26,41,0,38,5,9
12,2020-03-26,1,11,0,0,7,7,6,0,0,36,3,43,32,3,14,0,55,137,13,0,20,125,1,0,1,0,3,1,33,40,0,29,44,0,42,5,10
13,2020-03-27,6,13,0,0,9,8,6,0,0,40,3,47,33,3,20,0,64,176,13,0,29,156,1,0,1,0,3,1,38,50,0,38,59,0,49,5,15
14,2020-03-28,9,19,0,0,11,8,7,0,0,49,3,55,35,3,33,0,81,182,13,0,39,186,1,0,1,0,3,1,38,54,0,42,67,0,65,6,18
15,2020-03-29,9,21,0,0,15,8,7,0,0,72,5,63,35,3,38,0,83,202,13,0,39,203,1,0,1,0,3,1,38,59,0,50,70,0,72,7,21
16,2020-03-30,10,23,0,0,15,13,8,0,0,97,5,70,36,3,49,0,88,234,13,0,47,220,1,0,1,0,3,1,41,79,0,67,77,0,96,7,22
17,2020-03-31,10,44,0,1,21,15,9,0,0,120,5,74,43,3,55,1,101,241,13,0,66,302,1,0,1,0,4,1,42,93,0,124,97,0,104,7,37
18,2020-04-01,10,111,0,16,24,17,9,0,0,152,5,87,43,3,62,1,110,265,13,0,98,335,1,0,1,0,5,3,46,120,0,234,127,0,117,7,37
19,2020-04-02,10,149,1,16,29,18,9,0,0,293,5,88,49,6,70,2,124,286,13,0,107,423,2,0,1,0,5,5,47,133,0,309,154,0,128,10,53
20,2020-04-03,10,164,1,23,31,18,9,0,0,386,6,95,58,6,75,2,128,295,14,0,154,487,2,0,1,0,20,5,53,179,0,411,229,0,174,16,53
21,2020-04-04,10,192,1,26,32,18,10,0,0,445,7,108,84,13,92,2,144,306,14,0,179,635,2,0,1,0,21,5,65,206,0,485,272,0,234,22,53
22,2020-04-05,10,256,1,26,32,18,10,0,0,503,7,128,90,14,106,3,151,314,14,0,193,747,2,0,1,0,39,5,68,266,0,571,334,0,278,26,80
23,2020-04-06,10,303,1,26,32,18,10,0,0,525,7,146,110,18,109,4,163,327,14,0,256,868,2,0,1,0,40,5,79,301,0,621,364,1,305,31,80
24,2020-04-07,10,314,1,28,38,18,10,0,0,576,7,175,143,27,125,4,175,336,14,0,290,1018,2,0,1,0,42,5,99,343,0,690,404,1,332,31,91
25,2020-04-08,11,348,1,28,39,18,10,0,0,669,7,186,167,27,158,4,181,345,14,0,341,1135,2,0,1,0,42,5,106,383,0,738,453,1,361,35,99
26,2020-04-09,11,363,1,29,58,18,18,0,0,720,7,262,170,28,184,13,197,357,14,0,411,1364,2,0,1,0,48,5,130,463,0,834,471,1,410,35,103
27,2020-04-10,11,381,1,29,60,19,18,0,0,903,7,378,176,28,207,14,207,364,15,0,451,1574,2,0,1,0,50,7,151,561,0,911,487,2,433,35,116
28,2020-04-11,11,405,1,29,64,19,25,0,0,1069,7,468,179,32,224,17,215,374,15,0,529,1761,2,0,1,0,54,7,158,700,0,969,503,2,452,35,126
29,2020-04-12,11,420,1,30,64,21,31,0,0,1154,7,516,195,32,245,19,232,376,15,0,562,1982,2,0,1,0,54,7,170,804,0,1075,531,2,483,35,134
30,2020-04-13,11,439,1,32,66,21,31,0,0,1510,7,572,196,32,270,24,247,379,17,0,614,2334,2,1,1,0,55,7,176,897,0,1173,592,2,558,35,152
31,2020-04-14,11,484,1,33,66,21,33,0,0,1561,7,650,198,33,278,27,260,387,17,0,741,2680,2,1,1,0,60,7,184,1005,0,1204,644,2,660,37,190
32,2020-04-15,11,525,1,33,72,21,33,0,0,1578,7,766,204,35,300,28,279,388,18,0,938,2916,2,7,1,0,60,7,186,1076,0,1242,650,2,735,37,213
33,2020-04-16,11,534,1,35,83,21,36,0,0,1640,7,929,215,35,314,29,315,395,18,0,1164,3201,2,9,1,0,60,7,197,1131,0,1267,700,2,805,37,231
34,2020-04-17,12,572,1,35,85,21,36,0,0,1707,7,1099,223,38,328,32,359,396,18,0,1310,3321,2,9,1,0,60,7,211,1229,0,1323,766,2,849,40,255
35,2020-04-18,14,603,1,35,86,23,36,0,0,1893,7,1376,232,39,341,33,384,400,18,0,1402,3648,2,11,1,0,61,7,234,1351,0,1372,809,2,975,42,287
36,2020-04-19,15,647,1,35,96,26,36,0,0,2003,7,1743,250,39,354,41,390,402,18,0,1407,4200,2,11,1,0,61,7,244,1478,0,1477,858,2,1100,44,310
37,2020-04-20,16,722,1,35,113,26,36,0,0,2081,7,1939,251,39,368,46,408,408,18,0,1485,4666,2,11,1,0,74,7,245,1576,0,1520,872,2,1184,46,339
38,2020-04-21,17,757,1,35,126,27,36,0,0,2156,7,2178,255,39,380,46,418,427,18,0,1552,5218,2,12,1,0,79,7,251,1735,0,1596,928,2,1337,46,392
39,2020-04-22,18,813,1,35,143,27,36,0,0,2248,7,2407,264,39,407,46,427,438,18,0,1587,5649,2,12,1,0,83,7,278,1888,0,1629,943,2,1449,46,423
40,2020-04-23,22,893,1,36,170,27,36,0,0,2376,7,2624,270,40,434,53,445,448,18,0,1687,6427,2,12,1,0,89,7,283,1964,0,1683,970,2,1510,47,456
41,2020-04-24,29,955,1,36,223,27,36,0,0,2514,7,2815,275,40,454,59,474,451,18,0,1846,6817,2,12,1,0,94,7,298,2034,0,1755,983,2,1621,48,514
42,2020-04-25,33,1016,1,36,251,28,37,0,0,2625,7,3071,287,40,494,67,500,458,20,0,1945,7628,2,12,1,0,100,8,308,2083,0,1821,990,2,1793,48,571
43,2020-04-26,33,1097,1,36,277,36,37,0,0,2918,7,3301,296,40,523,82,503,469,20,0,2090,8068,2,12,1,0,103,8,322,2185,0,1885,1001,2,1873,51,611
44,2020-04-27,33,1177,1,36,346,45,37,0,0,3108,7,3548,301,40,546,103,512,482,20,0,2165,8590,2,12,1,0,118,8,330,2262,0,1937,1003,2,1986,51,649
45,2020-04-28,33,1259,1,38,366,56,38,0,0,3314,7,3774,308,40,565,105,523,486,22,0,2387,9318,2,12,1,0,118,8,342,2364,0,2058,1009,2,2053,54,697
46,2020-04-29,33,1332,1,38,403,68,38,0,0,3439,7,4082,311,40,581,107,535,496,22,0,2560,9915,2,12,1,0,125,8,375,2440,0,2162,1016,2,2134,55,725
47,2020-04-30,33,1403,1,43,425,74,40,0,0,3515,7,4395,339,40,614,110,565,498,22,0,2625,10498,2,12,1,0,143,8,480,2584,0,2323,1038,3,2211,57,758
48,2020-05-01,33,1463,1,43,466,88,43,0,0,3738,7,4721,357,40,639,113,589,498,22,0,2715,11506,2,12,1,0,154,8,585,2666,0,2526,1044,3,2328,57,795
49,2020-05-02,33,1525,1,43,481,94,43,0,0,4122,7,5054,376,40,666,115,601,500,23,0,2788,12296,2,12,1,0,160,9,772,2772,0,2757,1061,5,2487,59,922
50,2020-05-03,33,1583,1,43,517,97,57,0,0,4549,7,5428,442,40,701,115,614,500,42,0,2837,12974,2,12,1,0,162,9,1102,2886,0,3023,1082,17,2645,60,1198
51,2020-05-04,33,1650,1,43,528,102,58,0,0,4898,7,5804,517,41,726,115,651,500,42,0,2942,14541,2,12,1,0,169,9,1232,3061,0,3550,1085,30,2766,60,1259
52,2020-05-05,33,1717,1,45,535,119,59,1,0,5104,7,6245,548,42,741,125,673,503,42,0,3049,15525,2,12,1,0,177,9,1451,3158,0,4058,1096,43,2880,61,1344
53,2020-05-06,33,1777,1,46,542,124,59,1,0,5532,7,6625,594,43,775,127,693,503,42,0,3138,16758,2,12,1,0,205,9,1526,3317,0,4829,1107,65,2998,61,1456
54,2020-05-07,33,1833,1,54,550,135,59,1,0,5980,7,7013,625,46,793,132,705,503,42,0,3252,17974,2,12,1,0,219,9,1644,3427,0,5409,1122,89,3071,61,1548
55,2020-05-08,33,1887,1,60,579,146,59,1,0,6318,7,7403,647,50,823,154,753,504,42,0,3341,19063,2,12,1,0,270,10,1731,3579,0,6009,1132,119,3214,63,1678
56,2020-05-09,33,1930,1,62,611,169,59,1,0,6542,7,7797,675,52,836,156,794,506,42,0,3457,20228,2,13,1,0,352,10,1762,3708,0,6535,1163,136,3373,67,1786
57,2020-05-10,33,1980,1,63,707,173,59,1,0,6923,7,8195,703,58,861,157,848,513,42,0,3614,22171,2,13,1,0,377,12,1823,3814,0,7204,1196,152,3467,68,1939
58,2020-05-11,33,2018,1,65,749,181,59,1,0,7233,7,8542,730,59,879,161,862,520,42,0,3785,23401,2,13,1,0,415,12,1877,3988,0,8002,1275,152,3573,68,2063
59,2020-05-12,33,2089,1,65,879,187,59,1,0,7639,7,8904,780,67,934,172,925,525,42,0,3986,24427,2,13,1,0,437,12,1914,4126,0,8718,1326,154,3664,69,2173
60,2020-05-13,33,2137,1,80,953,191,59,1,0,7998,7,9268,793,68,971,177,959,535,43,0,4173,25922,2,13,1,0,538,13,1924,4328,0,9227,1367,155,3758,72,2290
61,2020-05-14,33,2205,1,87,999,191,60,1,0,8470,15,9592,818,74,983,203,987,561,43,0,4426,27524,3,13,1,0,672,16,1935,4534,0,9674,1414,156,3902,78,2377
62,2020-05-15,33,2307,1,90,1033,191,66,1,0,8895,15,9932,854,76,1013,211,1056,577,43,0,4595,29100,3,13,1,0,737,16,1932,4747,0,10108,1454,156,4057,82,2461
63,2020-05-16,33,2355,1,93,1178,191,67,1,0,9333,20,10989,887,78,1121,217,1092,588,43,0,4790,30706,7,13,1,0,737,17,1946,4960,0,10585,1509,167,4258,91,2576
64,2020-05-17,33,2380,1,101,1320,191,85,1,0,9755,29,11380,910,80,1183,223,1147,602,43,0,4977,33053,7,13,1,0,828,17,1964,5202,0,11224,1551,165,4464,92,2677
65,2020-05-18,33,2432,1,116,1423,196,95,1,0,10054,38,11746,928,90,1289,228,1246,631,43,0,5236,35058,7,13,1,0,876,17,1980,5507,0,11760,1592,165,4605,96,2824
66,2020-05-19,33,2489,1,158,1519,199,100,1,0,10554,46,12141,964,92,1317,248,1395,643,43,0,5465,37136,9,13,1,0,978,22,2002,5845,0,12448,1634,173,4926,111,2961
67,2020-05-20,33,2560,1,189,1776,202,114,1,0,11088,50,12539,993,110,1390,290,1462,667,44,0,5735,39297,25,14,1,0,1052,23,2005,6015,0,13191,1661,173,5175,126,3103
68,2020-05-21,33,2605,1,211,1987,218,128,1,0,11659,52,12910,1030,152,1449,303,1605,691,44,0,5981,41642,25,14,1,0,1103,23,2028,6227,0,13967,1699,175,5515,145,3197
69,2020-05-22,33,2667,1,226,2166,219,172,1,0,12319,54,13273,1067,168,1489,323,1743,733,46,0,6170,44582,26,14,1,0,1189,26,2029,6494,0,14753,1761,175,5735,153,3332
70,2020-05-23,33,2714,1,347,2394,225,214,2,0,12910,55,13669,1131,185,1569,350,1959,795,49,0,6371,47190,29,14,1,0,1269,26,2045,6742,1,15512,1813,191,6017,244,3459
71,2020-05-24,33,2780,2,393,2574,262,252,2,0,13418,66,14063,1184,203,1621,370,2089,848,52,0,6665,50231,32,14,1,0,1336,41,2060,7028,1,16277,1854,194,6268,317,3667
72,2020-05-25,33,2886,2,549,2737,266,292,2,0,14053,67,14468,1213,223,1668,405,2182,897,53,0,6859,52667,36,15,1,3,1438,49,2081,7300,1,17082,1920,198,6497,349,3816
73,2020-05-26,33,2983,2,683,2968,278,360,2,0,14465,67,14829,1305,247,1759,426,2283,964,53,0,7024,54758,39,20,1,4,1517,49,2106,7536,1,17728,2032,232,6724,400,4009
74,2020-05-27,33,3117,2,784,3036,279,364,2,0,15257,68,15205,1381,273,1921,433,2418,1004,54,0,7261,56948,44,20,1,9,1593,49,2139,7816,1,18545,2139,242,6991,469,4192
75,2020-05-28,33,3245,3,881,3185,289,398,2,0,16281,69,15572,1504,281,2036,439,2533,1089,74,0,7453,59546,55,21,1,18,1660,53,2158,8067,1,19372,2256,244,7170,500,4536
76,2020-05-29,33,3330,3,1058,3359,289,415,2,0,17386,69,15944,1721,295,2164,521,2781,1151,74,0,7645,62228,59,27,1,25,1723,57,2197,8365,1,20246,2425,254,7445,716,4813
77,2020-05-30,33,3461,4,1217,3565,289,447,2,0,18549,70,16356,1923,313,2341,594,2922,1209,77,0,7891,65168,60,27,1,36,1819,57,2233,8617,1,21184,2499,271,7701,749,5130
78,2020-05-31,33,3571,4,1340,3807,293,498,2,0,19844,71,16794,2091,331,2446,635,3221,1270,77,0,8089,67655,71,27,1,43,1948,70,2263,8831,1,22333,2698,316,8075,907,5501
79,2020-06-01,33,3676,22,1486,3945,297,547,3,0,20834,73,17217,2356,340,2601,661,3408,1327,77,0,8283,70013,83,28,1,43,2104,79,2301,9100,1,23495,2792,423,8361,959,5772
80,2020-06-02,33,3791,27,1560,4096,301,562,3,0,22132,79,17632,2652,345,2718,722,3796,1413,81,0,8420,72300,89,30,13,49,2245,79,2342,9373,1,24586,2891,471,8729,1043,6168
81,2020-06-03,33,3971,37,1831,4326,301,626,11,0,23645,126,18117,2954,359,2857,764,4063,1495,90,0,8588,74860,108,33,14,58,2388,90,2376,9652,2,25872,3020,622,8870,1085,6508
82,2020-06-04,33,4112,42,2116,4452,302,773,14,0,25004,166,18609,3281,383,3142,827,4320,1589,94,0,8762,77793,124,33,17,80,2478,99,2415,9862,2,27256,3147,646,9237,1153,6876
83,2020-06-05,33,4250,46,2244,4598,309,863,14,0,26334,196,19119,3597,393,3324,922,4835,1700,97,0,8996,80229,132,33,24,107,2608,104,2461,10084,3,28694,3290,694,9733,1215,7303
84,2020-06-06,33,4460,48,2474,4831,312,923,19,0,27654,267,19617,3952,400,3467,1028,5213,1808,99,0,9228,82968,157,33,24,107,2781,107,2515,10337,7,30152,3496,749,10103,1303,7738
85,2020-06-07,33,4659,51,2682,5070,314,1073,20,0,28936,300,20097,4448,411,4087,1103,5452,1915,103,0,9401,85975,172,36,34,116,2856,119,2608,10599,7,31667,3650,802,10536,1355,8187
86,2020-06-08,33,4813,57,2836,5247,320,1197,22,0,29943,330,20574,4854,421,4285,1290,5760,2006,103,0,9638,88529,272,39,42,122,2994,128,2663,10876,7,33229,3742,840,10947,1411,8613
87,2020-06-09,34,4882,57,3051,5455,326,1211,24,0,31309,359,21044,5209,437,4346,1416,5921,2097,108,0,9849,90787,304,43,88,127,3140,132,2719,11245,13,34914,3920,866,11335,1537,8985
88,2020-06-10,35,5247,61,3286,5698,328,1262,29,0,32810,387,21554,5579,451,4507,1551,6041,2162,115,0,10049,94041,311,44,93,128,3250,144,2805,11600,13,36841,4111,897,11610,1562,9328
89,2020-06-11,38,5429,67,3431,5948,332,1398,30,0,34687,417,22067,5968,470,4574,1599,6245,2245,135,0,10241,97648,366,44,102,130,3386,157,2887,11838,13,38716,4320,922,12088,1655,9768
90,2020-06-12,38,5636,86,3694,6096,345,1445,30,0,36824,463,22562,6334,486,4730,1656,6516,2323,239,0,10443,101141,385,44,104,156,3498,163,2986,12068,63,40698,4484,963,12616,1724,10244
91,2020-06-13,38,5858,91,3901,6289,350,1550,35,0,38958,523,23079,6749,502,4878,1711,6824,2408,437,0,10641,104568,449,44,110,163,3723,176,3063,12401,63,42687,4737,1046,13118,1785,10698
92,2020-06-14,40,6152,94,4119,6475,352,1671,39,0,41182,564,23590,7208,518,5041,1763,7000,2462,549,0,10802,107958,458,44,112,173,3909,194,3140,12694,68,44661,4974,1079,13615,1819,11087
93,2020-06-15,41,6456,98,4310,6662,357,1715,39,0,42829,592,24104,7722,556,5220,1793,7213,2544,555,0,10935,110744,490,44,117,177,4055,202,3267,12981,68,46504,5193,1089,14091,1845,11494
94,2020-06-16,44,6720,102,4511,6810,365,1784,54,0,44688,629,24628,8272,560,5298,1839,7530,2623,649,0,11083,113445,500,44,121,179,4163,216,3371,13216,68,48019,5406,1090,14598,1942,11909
95,2020-06-17,44,7071,106,4695,6940,370,1864,59,0,47102,656,25148,8832,585,5406,1895,7734,2698,687,0,11244,116752,552,43,121,193,4338,245,3497,13542,70,50193,5675,1133,15181,2023,12300
